district_name,real_estate_area,real_estate_age,total_rooms,price,price_per_meter,real_estate_agencey,floor,elevator,parking,warehouse,units_per_floor,document,building_direction,unit_status,facilities
زمزم,۵۵,۱۳۹۲,۱,۲٬۰۵۰٬۰۰۰٬۰۰۰ تومان,۳۷٬۲۷۳٬۰۰۰ تومان,گروه مشاورین املاک مسیحا,۵ از ۵,True,True,True,۴,تک‌برگ,شمالی,بازسازی شده,"آسانسور,پارکینگ,انباری,بالکن,جنس کف سرامیک,سرویس بهداشتی ایرانی,سرمایش کولر آبی,گرمایش بخاری"
اندیشه (شهر زیبا),۱۶۰,۱۳۹۵,۲,۱٬۴۵۰٬۰۰۰٬۰۰۰ تومان,۹٬۰۶۲٬۰۰۰ تومان,املاک بزرگ منصور,۳,True,True,True,,تک‌برگ,جنوبی,بازسازی شده,"آسانسور,پارکینگ,انباری,بالکن,جنس کف سرامیک,سرویس بهداشتی ایرانی,سرمایش کولر آبی,گرمایش شوفاژ"
ستارخان,۵۰,۱۴۰۲,۱,۴٬۷۵۰٬۰۰۰٬۰۰۰ تومان,۹۵٬۰۰۰٬۰۰۰ تومان,فرتاک,۱ از ۴,True,,True,۱,,,,"آسانسور,پارکینگ ندارد"
نارمک,,,,۷۶٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۲۵۳٬۳۳۳٬۰۰۰ تومان,گروه مشاورین املاک ایده نو نارمک,,,,,,,,,
سازمان برنامه,۱۱۱,۱۳۹۵,۳,۱۲٬۸۰۰٬۰۰۰٬۰۰۰ تومان,۱۱۵٬۳۱۵٬۰۰۰ تومان,شعبه ۹ شهر آرکا,۴ از ۵,True,True,True,۴,تک‌برگ,جنوبی,,"آسانسور,پارکینگ,انباری,بالکن,جنس کف پارکت لمینت,سرویس بهداشتی ایرانی و فرنگی,سرمایش داکت اسپلیت,گرمایش داکت اسپلیت"
زعفرانیه,۱۶۷,۱۴۰۰,۳,۴۷٬۸۰۰٬۰۰۰٬۰۰۰ تومان,۲۸۶٬۲۲۸٬۰۰۰ تومان,دیپلمات زعفرانیه,۹ از ۹,True,True,True,۱,تک‌برگ,جنوبی,بازسازی شده,"آسانسور,پارکینگ,انباری,بالکن,جنس کف سنگ,سرویس بهداشتی ایرانی و فرنگی,سرمایش فن کوئل,گرمایش فن کوئل"
دارآباد,,,,۷٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۴۶٬۶۶۷٬۰۰۰ تومان,,,,,,,,,,
شهرک محلاتی,۱۰۶,۱۴۰۰,۲,۱۳٬۸۰۰٬۰۰۰٬۰۰۰ تومان,۱۳۰٬۱۸۹٬۰۰۰ تومان,پدیده نیاوران,۵ از ۵,True,True,True,۲,تک‌برگ,جنوبی,,"آسانسور,پارکینگ,انباری,بالکن,جنس کف سنگ,سرویس بهداشتی ایرانی و فرنگی,سرمایش داکت اسپلیت,گرمایش شوفاژ"
چیتگر,۱۲۵,۱۴۰۲,۲,۱٬۸۷۵٬۰۰۰٬۰۰۰ تومان,۱۵٬۰۰۰٬۰۰۰ تومان,,۱۶ از ۱۸,True,True,True,۸,تک‌برگ,جنوبی,,"آسانسور,پارکینگ,انباری,بالکن,جنس کف سنگ,سرویس بهداشتی ایرانی و فرنگی,سرمایش داکت اسپلیت,گرمایش از کف"
سعادت‌آباد,۱۵۰,۱۳۹۹,۳,۴۳٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۲۸۶٬۶۶۷٬۰۰۰ تومان,خانه ایرانvip,۵,True,True,True,,,,,"آسانسور,پارکینگ,انباری"
