district_name,real_estate_area,real_estate_age,total_rooms,price,price_per_meter,real_estate_agencey,floor,elevator,parking,warehouse,units_per_floor,document,building_direction,unit_status,facilities
کرمان,۶۵,۱۳۹۶,۲,۵٬۲۰۰٬۰۰۰٬۰۰۰ تومان,۸۰٬۰۰۰٬۰۰۰ تومان,گروه بزرگ کوچ,۱ از ۵,True,True,True,۲,تک‌برگ,جنوبی,بازسازی شده,"آسانسور,پارکینگ,انباری,بالکن,جنس کف سرامیک,سرویس بهداشتی ایرانی,سرمایش کولر آبی,گرمایش شوفاژ"
پونک,۶۲,۱۳۸۷,۱,۶٬۸۰۰٬۰۰۰٬۰۰۰ تومان,۱۰۹٬۶۷۷٬۰۰۰ تومان,,۲,True,True,True,,,,,
سلسبیل,۴۶,۱۳۸۴,۱,۲٬۲۵۰٬۰۰۰٬۰۰۰ تومان,۴۸٬۹۱۳٬۰۰۰ تومان,املاک آریا ،,۲ از ۳,,,True,۱,تک‌برگ,,بازسازی شده,"آسانسور ندارد,پارکینگ ندارد,انباری,جنس کف سرامیک"
ابوذر (منطقه ۱۵),,قبل از ۱۳۷۰,,۲۴٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۲۴۰٬۰۰۰٬۰۰۰ تومان,,,,True,True,,,شمالی,,"پارکینگ,انباری,بالکن ندارد,جنس کف موزائیک,سرویس بهداشتی ایرانی,سرمایش کولر آبی,گرمایش بخاری"
مجیدیه,۵۵,۱۳۷۷,۱,۳٬۳۰۰٬۰۰۰٬۰۰۰ تومان,۶۰٬۰۰۰٬۰۰۰ تومان,,زیرهمکف از ۵,,,True,۱,تک‌برگ,شمالی,بازسازی شده,"آسانسور ندارد,پارکینگ ندارد,انباری,بالکن,جنس کف پارکت چوب,سرویس بهداشتی ایرانی,سرمایش کولر آبی,گرمایش شوفاژ"
تهران‌سر,۶۰,۱۳۸۷,۲,۳٬۹۵۰٬۰۰۰٬۰۰۰ تومان,۶۵٬۸۳۳٬۰۰۰ تومان,املاک راما,۱,,,True,,,,,
جی,۷۵,۱۴۰۲,۲,۴٬۱۸۰٬۰۰۰٬۰۰۰ تومان,۵۵٬۷۳۳٬۰۰۰ تومان,املاک شاران,۴,True,True,True,,,جنوبی,,"آسانسور,پارکینگ,انباری,بالکن,جنس کف سرامیک,سرویس بهداشتی ایرانی و فرنگی,سرمایش کولر آبی,گرمایش شوفاژ"
سعادت‌آباد,۱۰۰,۱۳۹۷,۲,۱۴٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۱۴۰٬۰۰۰٬۰۰۰ تومان,خانه ایرانvip,۴,True,True,True,,,,,
نیرو هوایی,۱۸۵,۱۴۰۲,۳,۲۹٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۱۵۶٬۷۵۷٬۰۰۰ تومان,املاك ستاره شرق ١-٢,۴ از ۵,True,True,True,۱,,,,"آسانسور,پارکینگ,انباری"
سعادت‌آباد,۱۳۳,۱۳۹۲,۳,۱۵٬۳۰۰٬۰۰۰٬۰۰۰ تومان,۱۱۵٬۰۳۸٬۰۰۰ تومان,مسکن متراژ,۲ از ۵,True,True,True,۱,تک‌برگ,جنوبی,,"آسانسور,پارکینگ,انباری,بالکن,جنس کف سنگ,سرویس بهداشتی ایرانی و فرنگی,سرمایش کولر آبی,گرمایش شوفاژ"
مجیدیه,۸۳,۱۴۰۲,۲,۷٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۸۴٬۳۳۷٬۰۰۰ تومان,,۴,True,True,True,,,,,
جنت‌آباد مرکزی,۹۷,۱۳۹۱,۲,۱۱٬۲۰۰٬۰۰۰٬۰۰۰ تومان,۱۱۵٬۴۶۴٬۰۰۰ تومان,,۱,True,True,True,,,,,
آسمان,۱۲۷,۱۳۸۱,۳,۱۴٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۱۱۰٬۲۳۶٬۰۰۰ تومان,مسکن متراژ,۱ از ۴,,True,True,۱,تک‌برگ,جنوبی,,"آسانسور ندارد,پارکینگ,انباری,بالکن,جنس کف سنگ,سرویس بهداشتی ایرانی و فرنگی,سرمایش کولر آبی,گرمایش شوفاژ"
سیدخندان,,,,۳۵٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۲۰۵٬۸۸۲٬۰۰۰ تومان,امپراطور پاسداران,,,,,,,,,
جنت‌آباد جنوبی,۷۴,۱۳۹۵,۲,۶٬۶۰۰٬۰۰۰٬۰۰۰ تومان,۸۹٬۱۸۹٬۰۰۰ تومان,آغاج,۴ از ۵,True,True,True,۳,تک‌برگ,جنوبی,,"آسانسور,پارکینگ,انباری"
اراج,۱۰۰,۱۳۸۷,۲,۱۳٬۳۰۰٬۰۰۰٬۰۰۰ تومان,۱۳۳٬۰۰۰٬۰۰۰ تومان,خاص فرمانیه,۳ از ۵,True,True,True,۴,تک‌برگ,شمالی,بازسازی شده,"آسانسور,پارکینگ,انباری,بالکن,جنس کف سنگ,سرویس بهداشتی فرنگی,سرمایش کولر آبی,گرمایش داکت اسپلیت"
کرمان,,,,۱۴٬۵۰۰٬۰۰۰٬۰۰۰ تومان,۱۲۶٬۰۸۷٬۰۰۰ تومان,امپراطور پاسداران,,,,,,,,,
کرمان,,,,۳۷٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۱۴۳٬۹۶۹٬۰۰۰ تومان,ارمان,,,,,,,,,
سازمان برنامه,۱۰۱,۱۳۹۷,۲,۱۰٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۹۹٬۰۱۰٬۰۰۰ تومان,,۱ از ۵,True,True,True,۲,تک‌برگ,جنوبی,بازسازی شده,"آسانسور,پارکینگ,انباری,بالکن,جنس کف سرامیک,سرویس بهداشتی ایرانی و فرنگی,سرمایش کولر آبی,گرمایش شوفاژ"
هروی,۱۱۵,۱۴۰۲,۲,۱۵٬۵۰۰٬۰۰۰٬۰۰۰ تومان,۱۳۴٬۷۸۳٬۰۰۰ تومان,املاک بزرگ ماکان,۳ از ۶,True,True,True,۴,تک‌برگ,جنوبی,,"آسانسور,پارکینگ,انباری,بالکن,جنس کف سنگ,سرویس بهداشتی ایرانی و فرنگی,سرمایش داکت اسپلیت,گرمایش داکت اسپلیت"
استاد معین,۷۲,۱۳۹۲,۲,۳٬۵۹۰٬۰۰۰٬۰۰۰ تومان,۴۹٬۸۶۱٬۰۰۰ تومان,آژانس املاک آسا,۳ از ۵,True,True,True,۲,تک‌برگ,شمالی,بازسازی شده,"آسانسور,پارکینگ,انباری,بالکن,جنس کف سرامیک,سرویس بهداشتی ایرانی و فرنگی,سرمایش اسپلیت,گرمایش شوفاژ"
سعادت‌آباد,۱۰۰,۱۳۸۸,۲,۱۴٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۱۴۰٬۰۰۰٬۰۰۰ تومان,دارا,۳ از ۵,True,True,True,۱,تک‌برگ,جنوبی,بازسازی شده,"آسانسور,پارکینگ,انباری,بالکن,جنس کف سنگ,سرویس بهداشتی ایرانی و فرنگی,سرمایش داکت اسپلیت,گرمایش داکت اسپلیت"
فاطمی,۱۱۰,۱۳۹۵,۲,۱۲٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۱۰۹٬۰۹۱٬۰۰۰ تومان,مسکن پلاک,۲ از ۵,True,True,True,۲,تک‌برگ,شمالی,بازسازی شده,"آسانسور,پارکینگ,انباری,بالکن ندارد,جنس کف سرامیک,سرویس بهداشتی ایرانی و فرنگی,سرمایش کولر آبی,گرمایش شوفاژ"
جمهوری,,,,۲۵٬۵۰۰٬۰۰۰٬۰۰۰ تومان,۱۳۵٬۶۳۸٬۰۰۰ تومان,,,,,,,,,,
دردشت,۸۰,۱۳۹۱,۲,۷٬۹۰۰٬۰۰۰٬۰۰۰ تومان,۹۸٬۷۵۰٬۰۰۰ تومان,دپارتمان املاک شقایق,۱ از ۴,,True,True,۱,تک‌برگ,جنوبی,,"آسانسور ندارد,پارکینگ,انباری,بالکن,جنس کف سنگ,سرویس بهداشتی ایرانی,سرمایش کولر آبی,گرمایش شوفاژ"
سهروردی,۱۴۰,۱۳۹۳,۳,۱۷٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۱۲۱٬۴۲۹٬۰۰۰ تومان,مسکن بزرگ سهروردی,۳ از ۵,True,True,True,۲,تک‌برگ,جنوبی,,"آسانسور,پارکینگ,انباری,بالکن,جنس کف سنگ,سرویس بهداشتی ایرانی و فرنگی,سرمایش کولر گازی,گرمایش شوفاژ"
استاد معین,۸۰,۱۴۰۰,۲,۴٬۴۰۰٬۰۰۰٬۰۰۰ تومان,۵۵٬۰۰۰٬۰۰۰ تومان,امـلاک بـزرگ امیـــــران شعبه مرکزی,۱ از ۴,True,True,True,۱,تک‌برگ,جنوبی,,"آسانسور,پارکینگ,انباری,بالکن,جنس کف سنگ,سرویس بهداشتی ایرانی و فرنگی,سرمایش کولر آبی,گرمایش شوفاژ"
ستارخان,۱۰۰,۱۳۹۳,۲,۹٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۹۰٬۰۰۰٬۰۰۰ تومان,فرتاک,۵ از ۵,True,True,True,۲,تک‌برگ,شمالی,بازسازی شده,"آسانسور,پارکینگ,انباری,بالکن,جنس کف سنگ,سرویس بهداشتی ایرانی و فرنگی,سرمایش کولر آبی,گرمایش شوفاژ"
زنجان,۱۲۲,۱۳۹۶,۳,۱۰٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۸۱٬۹۶۷٬۰۰۰ تومان,املاک بزرگ سوتکا,۳ از ۵,True,True,True,۱,تک‌برگ,شمالی,بازسازی شده,"آسانسور,پارکینگ,انباری,بالکن,جنس کف پارکت چوب,سرویس بهداشتی ایرانی و فرنگی,سرمایش کولر آبی,گرمایش شوفاژ"
جلفا,۱۳۰,۱۳۸۰,۳,۱۳٬۸۰۰٬۰۰۰٬۰۰۰ تومان,۱۰۶٬۱۵۴٬۰۰۰ تومان,مهندسین مشاور آریان,۲ از ۵,True,True,True,۱,تک‌برگ,شمالی,بازسازی شده,"آسانسور,پارکینگ,انباری,بالکن,جنس کف پارکت لمینت,سرویس بهداشتی ایرانی و فرنگی,سرمایش کولر آبی,گرمایش شوفاژ"
دریاچه شهدای خلیج فارس,۱۰۰,۱۴۰۲,۲,۳٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۳۰٬۰۰۰٬۰۰۰ تومان,روماک,۱۷,True,True,True,,,,,
آبشار تهران,۱۲۰,۱۴۰۰,۳,۱۰٬۲۰۰٬۰۰۰٬۰۰۰ تومان,۸۵٬۰۰۰٬۰۰۰ تومان,دفتر فروش مرکزی پروژه,۷ از ۱۷,True,True,True,۸,,شمالی,,"آسانسور,پارکینگ,انباری,بالکن,جنس کف سرامیک,سرویس بهداشتی ایرانی و فرنگی,سرمایش داکت اسپلیت,گرمایش داکت اسپلیت"
فلاح,۵۸,۱۳۹۹,۲,۲٬۴۰۰٬۰۰۰٬۰۰۰ تومان,۴۱٬۳۷۹٬۰۰۰ تومان,گروه مشاورین ملل,۳,True,,True,,تک‌برگ,,,"آسانسور,پارکینگ ندارد,انباری,بالکن"
کوی فردوس,۱۳۰,۱۳۹۰,۳,۱۲٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۹۲٬۳۰۸٬۰۰۰ تومان,املاک لطفی,۵ از ۵,True,True,True,۲,تک‌برگ,جنوبی,بازسازی شده,"آسانسور,پارکینگ,انباری,بالکن,جنس کف سنگ,سرویس بهداشتی ایرانی و فرنگی,سرمایش کولر آبی,گرمایش شوفاژ"
هفت چنار,۴۳,۱۳۸۵,۱,۲٬۱۰۰٬۰۰۰٬۰۰۰ تومان,۴۸٬۸۳۷٬۰۰۰ تومان,گروه مشاورین املاک سران شعبه ٢,۱ از ۴,,True,True,۱,تک‌برگ,,,"آسانسور ندارد,پارکینگ,انباری"
کاروان,۷۵,۱۳۹۱,۲,۳٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۴۰٬۰۰۰٬۰۰۰ تومان,,۱,True,True,True,,,,,"آسانسور,پارکینگ,انباری,بالکن,جنس کف سرامیک,سرویس بهداشتی ایرانی,سرمایش کولر آبی,گرمایش شوفاژ"
زعفرانیه,۵۵۰,۱۳۹۸,۴,۲۴۷٬۵۰۰٬۰۰۰٬۰۰۰ تومان,۴۵۰٬۰۰۰٬۰۰۰ تومان,املاک حیات ولنجک,۵ از ۶,True,True,True,۱,تک‌برگ,شمالی,بازسازی شده,"آسانسور,پارکینگ,انباری,بالکن,جنس کف سنگ,سرویس بهداشتی فرنگی,سرمایش داکت اسپلیت,گرمایش داکت اسپلیت"
نیاوران,۱۸۰,۱۳۷۵,۳,۲۶٬۸۰۰٬۰۰۰٬۰۰۰ تومان,۱۴۸٬۸۸۹٬۰۰۰ تومان,هوم بانک,۳,True,True,True,,,,,
پاسداران,۱۹۴,۱۴۰۱,۳,۲۳٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۱۱۸٬۵۵۷٬۰۰۰ تومان,,۱۰ از ۱۱,True,True,True,۵,تک‌برگ,جنوبی,,"آسانسور,پارکینگ,انباری,بالکن,جنس کف سرامیک,سرویس بهداشتی ایرانی و فرنگی,سرمایش داکت اسپلیت,گرمایش داکت اسپلیت"
دروس,,,,۱۰۲٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۳۴۰٬۰۰۰٬۰۰۰ تومان,شایگان,,,,,,,,,
شهرک راه‌آهن,۱۴۰,۱۴۰۲,۳,۲۵٬۲۰۰٬۰۰۰٬۰۰۰ تومان,۱۸۰٬۰۰۰٬۰۰۰ تومان,نوروزی,۲,True,True,True,,,,,
ستارخان,,,,۲٬۲۵۰٬۰۰۰٬۰۰۰ تومان,۶٬۴۲۹٬۰۰۰ تومان,,,,,,,,,,
اندیشه (شهر زیبا),۴۲,۱۴۰۰,۱,۹۰۰٬۰۰۰٬۰۰۰ تومان,۲۱٬۴۲۹٬۰۰۰ تومان,تشریفات,۳,True,True,True,,,,,
سیدخندان,۹۶,۱۴۰۱,۲,۱۱٬۵۰۰٬۰۰۰٬۰۰۰ تومان,۱۱۹٬۷۹۲٬۰۰۰ تومان,کارن نگین ظفر,۲ از ۵,True,True,True,۲,تک‌برگ,,,"آسانسور,پارکینگ,انباری,بالکن,سرمایش اسپلیت,گرمایش اسپلیت"
جیحون,۴۰,۱۳۸۰,۱,۲٬۲۰۰٬۰۰۰٬۰۰۰ تومان,۵۵٬۰۰۰٬۰۰۰ تومان,مسکن مهدی زاده,۱ از ۳,,,True,۲,تک‌برگ,جنوبی,بازسازی شده,"آسانسور ندارد,پارکینگ ندارد,انباری,بالکن,جنس کف سرامیک,سرویس بهداشتی ایرانی و فرنگی,سرمایش کولر آبی,گرمایش بخاری"
نیاوران,۱۰۸,۱۳۹۵,۲,۱۷٬۵۰۰٬۰۰۰٬۰۰۰ تومان,۱۶۲٬۰۳۷٬۰۰۰ تومان,,۲ از ۵,True,True,True,۲,تک‌برگ,شمالی,,"آسانسور,پارکینگ,انباری,بالکن,جنس کف سنگ,سرمایش داکت اسپلیت,گرمایش داکت اسپلیت"
سلسبیل,۵۰,۱۳۸۰,۲,۲٬۰۳۰٬۰۰۰٬۰۰۰ تومان,۴۰٬۶۰۰٬۰۰۰ تومان,املاک پاسارگاد,۲ از ۴,,,True,۱,تک‌برگ,شمالی,بازسازی شده,"آسانسور ندارد,پارکینگ ندارد,انباری,بالکن,جنس کف سرامیک,سرویس بهداشتی ایرانی و فرنگی,سرمایش کولر آبی,گرمایش شوفاژ"
قیطریه,۱۱۰,۱۳۸۵,۲,۱۳٬۵۰۰٬۰۰۰٬۰۰۰ تومان,۱۲۲٬۷۲۷٬۰۰۰ تومان,پارسان,۲ از ۴,True,True,True,۲,تک‌برگ,جنوبی,بازسازی شده,"آسانسور,پارکینگ,انباری,بالکن,جنس کف پارکت چوب,سرویس بهداشتی ایرانی و فرنگی,سرمایش کولر آبی,گرمایش شوفاژ"
جنت‌آباد جنوبی,۹۰,۱۳۹۸,۲,۸٬۴۹۹٬۰۰۰٬۰۰۰ تومان,۹۴٬۴۳۳٬۰۰۰ تومان,املاک بزرگ آرتا,۴,True,True,True,,,,,
پیروزی,۵۳,۱۴۰۲,۱,۳٬۹۸۰٬۰۰۰٬۰۰۰ تومان,۷۵٬۰۹۴٬۰۰۰ تومان,,۱ از ۴,True,,True,۱,سایر,شمالی,,"آسانسور,پارکینگ ندارد,انباری,بالکن,جنس کف سرامیک,سرویس بهداشتی ایرانی و فرنگی,سرمایش کولر آبی,گرمایش از کف"
هروی,۱۲۲,۱۴۰۲,۲,۱۴٬۶۴۰٬۰۰۰٬۰۰۰ تومان,۱۲۰٬۰۰۰٬۰۰۰ تومان,رسمی شرکت ابنیه سازان مقاوم قربانی ، رونیکا پالاس,۷ از ۱۱,True,True,True,۵,تک‌برگ,شمالی,,"آسانسور,پارکینگ,انباری,بالکن,جنس کف سرامیک,سرویس بهداشتی ایرانی و فرنگی,سرمایش داکت اسپلیت,گرمایش داکت اسپلیت"
پاسداران,۱۵۰,قبل از ۱۳۷۰,۳,۲۵٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۱۶۶٬۶۶۷٬۰۰۰ تومان,کارن نگین ظفر,۲ از ۲,,True,True,۱,,جنوبی,بازسازی شده,"آسانسور ندارد,پارکینگ,انباری,بالکن,جنس کف سرامیک,سرویس بهداشتی ایرانی و فرنگی,سرمایش کولر آبی,گرمایش شوفاژ"
دریاچه شهدای خلیج فارس,۱۰۰,۱۴۰۲,۲,۲٬۲۰۰٬۰۰۰٬۰۰۰ تومان,۲۲٬۰۰۰٬۰۰۰ تومان,روماک,۱۵ از ۲۰,True,True,True,۵,تک‌برگ,جنوبی,,"آسانسور,پارکینگ,انباری,بالکن,جنس کف سرامیک,سرویس بهداشتی ایرانی و فرنگی,سرمایش داکت اسپلیت,گرمایش داکت اسپلیت"
چهارصد دستگاه,۴۵,۱۳۹۴,۱,۲٬۶۷۰٬۰۰۰٬۰۰۰ تومان,۵۹٬۳۳۳٬۰۰۰ تومان,دپارتمان بزرگ آسایش,۳ از ۴,True,,True,۱,تک‌برگ,شمالی,بازسازی شده,"آسانسور,پارکینگ ندارد,انباری,بالکن ندارد,جنس کف سرامیک,سرویس بهداشتی ایرانی,سرمایش کولر آبی,گرمایش بخاری"
امیرآباد,۱۲۵,۱۳۹۵,۲,۱۶٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۱۲۸٬۰۰۰٬۰۰۰ تومان,املاک ۲۷ کردستان,۵ از ۵,True,True,True,۲,تک‌برگ,جنوبی,بازسازی شده,"آسانسور,پارکینگ,انباری,بالکن,جنس کف سنگ,سرویس بهداشتی ایرانی و فرنگی,سرمایش کولر آبی,گرمایش شوفاژ"
سهروردی,۱۰۰,قبل از ۱۳۷۰,۲,۸٬۶۰۰٬۰۰۰٬۰۰۰ تومان,۸۶٬۰۰۰٬۰۰۰ تومان,ایوان سهروردی,۲ از ۳,,,True,۲,تک‌برگ,,بازسازی شده,"آسانسور ندارد,پارکینگ ندارد"
ستارخان,۱۲۹,۱۳۹۶,۳,۱۱٬۷۰۰٬۰۰۰٬۰۰۰ تومان,۹۰٬۶۹۸٬۰۰۰ تومان,,۴ از ۶,True,True,True,۲,تک‌برگ,شمالی,,"آسانسور,پارکینگ,انباری,بالکن,جنس کف سنگ,سرویس بهداشتی ایرانی و فرنگی,سرمایش کولر آبی,گرمایش شوفاژ"
سعادت‌آباد,۱۰۸,۱۳۹۷,۲,۲۵٬۶۸۰٬۰۰۰٬۰۰۰ تومان,۲۳۷٬۷۷۸٬۰۰۰ تومان,آلما پلاس,۵ از ۵,True,True,True,۲,تک‌برگ,,بازسازی شده,"آسانسور,پارکینگ,انباری,بالکن,جنس کف سنگ,سرویس بهداشتی ایرانی و فرنگی,سرمایش داکت اسپلیت,گرمایش داکت اسپلیت"
زعفرانیه,۲۳۵,۱۴۰۲,۳,۸۲٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۳۴۸٬۹۳۶٬۰۰۰ تومان,,۶,True,True,True,,,,,
تهران‌سر,۴۹,۱۳۸۰,۱,۳٬۰۵۰٬۰۰۰٬۰۰۰ تومان,۶۲٬۲۴۵٬۰۰۰ تومان,گروه بزرگ کوچ,۲ از ۴,,True,True,۴,تک‌برگ,شمالی,بازسازی شده,"آسانسور ندارد,پارکینگ,انباری,بالکن ندارد,جنس کف سرامیک,سرویس بهداشتی ایرانی,سرمایش کولر آبی,گرمایش شوفاژ"
دریاچه شهدای خلیج فارس,۱۰۰,۱۴۰۱,۲,۲٬۲۰۰٬۰۰۰٬۰۰۰ تومان,۲۲٬۰۰۰٬۰۰۰ تومان,روماک,۸ از ۲۰,True,True,True,۵,,,,"آسانسور,پارکینگ"
چیتگر,۱۰۰,۱۴۰۲,۲,۱٬۵۰۰٬۰۰۰٬۰۰۰ تومان,۱۵٬۰۰۰٬۰۰۰ تومان,,۱۱ از ۲۲,True,True,True,۶,تک‌برگ,جنوبی,,"آسانسور,پارکینگ,انباری,بالکن,جنس کف سنگ,سرویس بهداشتی ایرانی و فرنگی,سرمایش داکت اسپلیت,گرمایش داکت اسپلیت"
سبلان,۷۳,۱۳۹۴,۲,۴٬۸۹۰٬۰۰۰٬۰۰۰ تومان,۶۶٬۹۸۶٬۰۰۰ تومان,گروه بزرگ کوچ,۱ از ۴,True,True,True,۱,تک‌برگ,جنوبی,بازسازی شده,"آسانسور,پارکینگ,انباری,بالکن,جنس کف سرامیک,سرویس بهداشتی ایرانی و فرنگی,سرمایش کولر گازی,گرمایش اسپلیت"
بریانک,,,,۲٬۲۵۰٬۰۰۰٬۰۰۰ تومان,۶۴٬۲۸۶٬۰۰۰ تومان,مجموعه املاک متین,,,,,,,,,
سعادت‌آباد,۱۷۰,۱۴۰۲,۳,۵۴٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۳۱۷٬۶۴۷٬۰۰۰ تومان,خانه ایرانvip,۷,True,True,True,,,,,
دریاچه شهدای خلیج فارس,۱۰۰,۱۴۰۲,۲,۱۴٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۱۴۰٬۰۰۰٬۰۰۰ تومان,مجموعه بزرگ بارمان,۱ از ۹,True,True,True,,تک‌برگ,,,"آسانسور,پارکینگ,انباری,بالکن,جنس کف سنگ,سرویس بهداشتی ایرانی و فرنگی,سرمایش داکت اسپلیت"
شمس‌آباد,۶۴,۱۳۸۴,۲,۵٬۱۰۰٬۰۰۰٬۰۰۰ تومان,۷۹٬۶۸۸٬۰۰۰ تومان,,۱,True,,,,,,,
الهیه,,,,۳۱۳٬۵۰۰٬۰۰۰٬۰۰۰ تومان,۵۵۰٬۰۰۰٬۰۰۰ تومان,,,,,,,,,,
ارم,۱۲۵,۱۴۰۱,۲,۲۴٬۲۰۰٬۰۰۰٬۰۰۰ تومان,۱۹۳٬۶۰۰٬۰۰۰ تومان,املاک اینپلاک,۸ از ۲۲,True,True,True,۶,سایر,شمالی,,"آسانسور,پارکینگ,انباری,بالکن ندارد,جنس کف پارکت لمینت,سرویس بهداشتی ایرانی و فرنگی,سرمایش فن کوئل,گرمایش فن کوئل"
شهر زیبا,۶۰,۱۳۸۵,۱,۳٬۹۰۰٬۰۰۰٬۰۰۰ تومان,۶۵٬۰۰۰٬۰۰۰ تومان,,۴ از ۴,,True,True,۲,تک‌برگ,جنوبی,بازسازی شده,"آسانسور ندارد,پارکینگ,انباری,بالکن,جنس کف سرامیک,سرویس بهداشتی ایرانی و فرنگی,سرمایش کولر آبی,گرمایش شوفاژ"
دریاچه شهدای خلیج فارس,۱۵۰,۱۴۰۲,۳,۲٬۲۵۰٬۰۰۰٬۰۰۰ تومان,۱۵٬۰۰۰٬۰۰۰ تومان,,۱۷ از ۲۲,True,True,True,۶,تک‌برگ,جنوبی,,"آسانسور,پارکینگ,انباری,بالکن,جنس کف سنگ,سرویس بهداشتی ایرانی و فرنگی,سرمایش داکت اسپلیت,گرمایش داکت اسپلیت"
دروس,۱۱۰,۱۳۸۳,۲,۱۲٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۱۰۹٬۰۹۱٬۰۰۰ تومان,املاک کلید پاسداران,۳,True,True,True,,,,,
سعادت‌آباد,۳۱۰,۱۴۰۲,۴,۹۰٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۲۹۰٬۳۲۳٬۰۰۰ تومان,خانه ایرانvip,۵,True,True,True,,,,,
پونک,۱۲۸,۱۴۰۲,۳,۱۷٬۵۰۰٬۰۰۰٬۰۰۰ تومان,۱۳۶٬۷۱۹٬۰۰۰ تومان,فربد,۱ از ۵,True,True,True,۲,,جنوبی,,"آسانسور,پارکینگ,انباری,بالکن,جنس کف سنگ,سرویس بهداشتی ایرانی و فرنگی,سرمایش داکت اسپلیت,گرمایش داکت اسپلیت"
سهروردی,۱۴۰,۱۳۸۳,۳,۱۰٬۸۵۰٬۰۰۰٬۰۰۰ تومان,۷۷٬۵۰۰٬۰۰۰ تومان,مسکن ۱٫۲٫۳,۳ از ۵,True,,True,۱,تک‌برگ,جنوبی,,"آسانسور,پارکینگ ندارد,انباری,بالکن,جنس کف سرامیک,سرویس بهداشتی ایرانی و فرنگی,سرمایش کولر آبی,گرمایش شوفاژ"
کوی فردوس,۶۰,۱۳۸۳,۱,۴٬۸۵۰٬۰۰۰٬۰۰۰ تومان,۸۰٬۸۳۳٬۰۰۰ تومان,املاک اوپال,۴ از ۴,,True,True,۲,تک‌برگ,شمالی,بازسازی شده,"آسانسور ندارد,پارکینگ,انباری,بالکن,جنس کف سرامیک,سرویس بهداشتی ایرانی و فرنگی,سرمایش کولر آبی,گرمایش از کف"
تهرانپارس شرقی,۸۷,۱۴۰۲,۲,۲٬۲۰۰٬۰۰۰٬۰۰۰ تومان,۲۵٬۲۸۷٬۰۰۰ تومان,,۱۳,True,True,True,,,,,
سعادت‌آباد,۷۵,۱۳۹۶,۱,۱۱٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۱۴۶٬۶۶۷٬۰۰۰ تومان,گروه مشاورين املاک يوسفيان,۴,True,True,True,,,,,
پونک,۱۲۰,۱۴۰۲,۳,۲۰٬۴۰۰٬۰۰۰٬۰۰۰ تومان,۱۷۰٬۰۰۰٬۰۰۰ تومان,,۱ از ۴,True,True,True,۱,تک‌برگ,شمالی,,"آسانسور,پارکینگ,انباری,بالکن,جنس کف سنگ,سرویس بهداشتی ایرانی و فرنگی,سرمایش داکت اسپلیت,گرمایش داکت اسپلیت"
فلاح,۴۳,۱۳۸۹,۱,۱٬۸۵۰٬۰۰۰٬۰۰۰ تومان,۴۳٬۰۲۳٬۰۰۰ تومان,,۲,,True,True,۴,تک‌برگ,,,"آسانسور ندارد,پارکینگ,انباری"
اندیشه (شهر زیبا),۴۰,۱۳۹۷,۱,۱٬۸۵۰٬۰۰۰٬۰۰۰ تومان,۴۶٬۲۵۰٬۰۰۰ تومان,,۷ از ۹,True,True,True,۵,,,بازسازی شده,"آسانسور,پارکینگ,انباری,بالکن,جنس کف سرامیک,سرویس بهداشتی ایرانی,سرمایش اسپلیت,گرمایش بخاری"
سعادت‌آباد,,,,۷۵٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۲۸۸٬۴۶۲٬۰۰۰ تومان,خانه ایرانvip,,,,,,,,,
سهروردی,۱۳۱,۱۳۹۶,۳,۱۴٬۸۵۰٬۰۰۰٬۰۰۰ تومان,۱۱۳٬۳۵۹٬۰۰۰ تومان,مسکن ۱٫۲٫۳,۳ از ۵,True,True,True,۲,تک‌برگ,شمالی,بازسازی شده,"آسانسور,پارکینگ,انباری,بالکن,جنس کف سنگ,سرویس بهداشتی ایرانی و فرنگی,سرمایش اسپلیت,گرمایش شوفاژ"
