district_name,real_estate_type,real_estate_area,total_rooms,number_of_parking,real_estate_age,price,facilities,floor
جوادیه منطقه4,آپارتمان,44,1,0,10,2250000000,"آسانسور,انباری",1
جوادیه منطقه4,آپارتمان,53,1,0,11,2675000000,"آسانسور,انباری",1
لویزان و شیان,آپارتمان,131,2,1,3,16000000000,"آسانسور,انباری",2
لویزان و شیان,آپارتمان,64,1,0,11,5750000000,"آسانسور,انباری",1
آبشار,آپارتمان,65,1,1,10,3600000000,"آسانسور,انباری",1
کن,آپارتمان,88,2,1,12,7950000000,"آسانسور,انباری",2
فاطمی,آپارتمان,97,2,0,7,10800000000,"آسانسور,انباری",2
ایرانشهر,آپارتمان,88,2,1,10,8400000000,"آسانسور,انباری",2
عباس آباد,آپارتمان,105,3,1,1400,9300000000,"آسانسور,انباری",
اقدسیه,آپارتمان,120,2,1,6,15000000000,"آسانسور,انباری",2
شهرک نفت,آپارتمان,66,2,1,15,5700000000,"آسانسور,انباری",2
سید خندان,آپارتمان,76,2,1,15,7900000000,"آسانسور,انباری",2
جمهوری,آپارتمان,88,2,1,0,8900000000,"آسانسور,انباری",2
الهیه,آپارتمان,150,3,1,22,19000000000,"آسانسور,انباری",3
زرگنده,آپارتمان,150,3,1,1,26000000000,"آسانسور,انباری",3
حکمت,آپارتمان,103,2,1,0,24000000000,"آسانسور,انباری",2
بلوار-دریا,آپارتمان,146,3,1,14,19500000000,"آسانسور,انباری",3
اوین-مطنقه-2,آپارتمان,91,2,0,10,12800000000,"آسانسور,انباری",2
سید خندان,آپارتمان,110,3,1,4,15600000000,"آسانسور,انباری",3
قنات کوثر,آپارتمان,80,2,1,7,8100000000,"آسانسور,انباری",2
مجیدیه,آپارتمان,85,2,1,1,7250000000,"آسانسور,انباری",2
نعمت آباد,آپارتمان,54,2,0,6,13500000000,"آسانسور,انباری",2
امیریه,آپارتمان,47,1,0,20,2000000000,"آسانسور,انباری",1
تهرانسر مرکزی,آپارتمان,85,2,1,8,6300000000,"آسانسور,انباری",2
تهرانپارس,آپارتمان,79,2,1,0,6990000000,"آسانسور,انباری",2
سبلان,آپارتمان,50,1,1,18,3200000000,"آسانسور,انباری",1
منیریه,آپارتمان,82,2,1,17,6000000000,"آسانسور,انباری",2
شیخ هادی,آپارتمان,126,3,0,5,9790000000,"آسانسور,انباری",3
بلوار-دریا,آپارتمان,125,3,1,17,16450000000,"آسانسور,انباری",3
پاتریس لومومبا,آپارتمان,70,1,0,1401,4800000000,"آسانسور,انباری",
الهیه,آپارتمان,177,3,1,22,24000000000,"آسانسور,انباری",3
آبشار,آپارتمان,75,2,1,0,1950000000,"آسانسور,انباری",2
زعفرانیه,آپارتمان,55,1,1,16,7400000000,"آسانسور,انباری",1
دریان نو,آپارتمان,150,3,1,1,18000000000,"آسانسور,انباری",3
هروی,آپارتمان,110,2,1,15,12700000000,"آسانسور,انباری",2
سهروردی,آپارتمان,100,2,1,2,14200000000,"آسانسور,انباری",2
زرگنده,آپارتمان,70,1,1,0,15400000000,"آسانسور,انباری",1
آرژانتین,آپارتمان,125,3,1,25,11800000000,"آسانسور,انباری",3
تهرانپارس,آپارتمان,90,2,1,17,7500000000,"آسانسور,انباری",2
شمس آباد,آپارتمان,66,1,0,12,5460000000,"آسانسور,انباری",1
قبا,آپارتمان,125,3,1,5,17500000000,"آسانسور,انباری",3
مجیدیه,آپارتمان,130,2,1,2,11300000000,"آسانسور,انباری",2
اوقاف,آپارتمان,83,2,1,20,7500000000,"آسانسور,انباری",2
شمیران نو,آپارتمان,65,2,0,8,2800000000,"آسانسور,انباری",2
نارمک,آپارتمان,80,2,1,0,8500000000,"آسانسور,انباری",2
شاهین,آپارتمان,63,2,0,22,4850000000,"آسانسور,انباری",
الهیه,آپارتمان,180,3,1,16,32400000000,"آسانسور,انباری",3
تهرانپارس,آپارتمان,79,2,1,17,4580000000,"آسانسور,انباری",2
تهرانپارس,آپارتمان,55,1,1,16,3600000000,"آسانسور,انباری",1
الهیه,آپارتمان,260,3,1,16,55000000000,"آسانسور,انباری",3
اوین-مطنقه-2,آپارتمان,66,2,1,2,8800000000,"آسانسور,انباری",2
اوقاف,آپارتمان,68,1,0,9,4828000000,"آسانسور,انباری",1
زعفرانیه,آپارتمان,150,3,1,0,21000000000,"آسانسور,انباری",3
دانشگاه شریف,آپارتمان,120,2,1,4,8500000000,"آسانسور,انباری",2
دارآباد,آپارتمان,150,3,1,0,17400000000,"آسانسور,انباری",3
طرشت,آپارتمان,72,2,1,23,5100000000,"آسانسور,انباری",2
المهدی,آپارتمان,80,2,1,23,8200000000,"آسانسور,انباری",2
گیشا,آپارتمان,165,3,1,0,34500000000,"آسانسور,انباری",3
سلسبیل(رودکی),آپارتمان,50,1,0,25,2500000000,,1
دربند,آپارتمان,300,8,1,1398,66000000000,"آسانسور,انباری,بالکن",
بریانک,آپارتمان,,,0,,2350000000,,
میرداماد,آپارتمان,154,3,1,32,17000000000,"آسانسور,انباری,استخر",3
بهجت آباد,آپارتمان,68,1,1,9,7350000000,"آسانسور,انباری",1
ظفر,آپارتمان,157,2,1,0,31400000000,"آسانسور,انباری,سرایداری,لابی,اتاق مستر",2
درکه,آپارتمان,150,3,1,18,17500000000,"آسانسور,انباری",3
لویزان و شیان,آپارتمان,135,3,1,14,16300000000,"آسانسور,انباری",3
اوقاف,آپارتمان,103,2,1,0,8755000000,"آسانسور,انباری",2
اوقاف,آپارتمان,98,2,1,6,7600000000,"آسانسور,انباری",2
مجیدیه,آپارتمان,44,1,0,20,2850000000,"آسانسور,انباری",1
شاهین,آپارتمان,110,2,1,4,12000000000,"آسانسور,انباری",2
اباذر,آپارتمان,58,1,1,14,4400000000,"آسانسور,انباری",1
بلوار-دریا,آپارتمان,130,3,1,18,17600000000,"آسانسور,انباری",3
نیاوران,آپارتمان,92,2,1,6,9000000000,"آسانسور,انباری",2
اقدسیه,آپارتمان,63,1,1,4,11000000000,"آسانسور,انباری",1
محمودیه,آپارتمان,250,4,1,17,50000000000,"آسانسور,انباری",4
الهیه,آپارتمان,254,3,1,3,65000000000,"آسانسور,انباری",3
سعادت آباد,آپارتمان,240,1,0,17,40000000000,"آسانسور,انباری,بالکن,جکوزی,اتاق مستر,پاسیو",
جماران,آپارتمان,140,3,1,1,24500000000,"آسانسور,انباری",3
دربند,آپارتمان,80,1,1,2,12000000000,"آسانسور,انباری",1
پیروزی,آپارتمان,130,3,1,0,10400000000,"آسانسور,انباری",3
بهجت آباد,آپارتمان,85,2,0,30,6000000000,"آسانسور,انباری",2
عباس آباد,آپارتمان,58,1,0,18,6200000000,"آسانسور,انباری",1
مهران,آپارتمان,198,3,1,15,19800000000,"آسانسور,انباری",3
کوی ارم,آپارتمان,133,2,1,0,10500000000,"آسانسور,انباری",2
ازگل,آپارتمان,165,3,1,2,34200000000,"آسانسور,انباری",3
پیروزی,آپارتمان,94,2,1,8,7500000000,"آسانسور,انباری",2
اوقاف,آپارتمان,54,1,1,19,3490000000,"آسانسور,انباری",
المهدی,آپارتمان,107,2,1,15,11750000000,"آسانسور,انباری",2
بلوار کشاورز,آپارتمان,185,3,1,31,14800000000,"آسانسور,انباری",3
اقدسیه,آپارتمان,300,3,1,0,95000000000,"آسانسور,انباری",3
قزل قلعه,آپارتمان,105,2,1,20,10500000000,"آسانسور,انباری",2
تهران ویلا,آپارتمان,92,2,1,2,10580000000,"آسانسور,انباری",2
سعادت آباد,آپارتمان,240,,0,,60000000000,"آسانسور,انباری,بالکن,سرایداری,نگهبانی,سالن اجتماعات,لابی,استخر,سونا,جکوزی,روف گاردن,اتاق مستر,پاسیو",
نصرت,آپارتمان,61,1,1,24,3500000000,"آسانسور,انباری",1
الهیه,آپارتمان,120,2,1,2,16000000000,"آسانسور,انباری",2
ازگل,آپارتمان,86,2,1,16,9000000000,"آسانسور,انباری",2
پیروزی,آپارتمان,40,1,1,1,3100000000,"آسانسور,انباری",1
سنایی,آپارتمان,90,2,1,4,11000000000,"آسانسور,انباری",2
امیر آباد,آپارتمان,118,2,1,0,16100000000,"آسانسور,انباری",2
اسکندری,آپارتمان,74,2,1,15,4850000000,"آسانسور,انباری",2
کن,آپارتمان,110,2,0,9,2850000000,"آسانسور,انباری",2
جنت آباد شمالی,آپارتمان,67,1,1,10,6500000000,"آسانسور,انباری,بالکن,سرایداری",1
باغ فیض,آپارتمان,75,2,1,13,توافقی,"آسانسور,انباری,بالکن",2
بلوار فردوس,آپارتمان,98,2,1,7,10500000000,"آسانسور,انباری,بالکن",2
شهران,آپارتمان,60,1,1,7,6400000000,"آسانسور,انباری,بالکن",1
فاطمی,آپارتمان,83,2,1,12,8550000000,"آسانسور,انباری",2
اباذر,آپارتمان,70,2,1,8,7200000000,"آسانسور,انباری,بالکن,سرایداری",2
هفت تیر,آپارتمان,73,2,1,17,4000000000,,2
جنت آباد مرکزی,آپارتمان,80,2,1,5,7900000000,"آسانسور,انباری,بالکن",2
کن,آپارتمان,50,1,0,7,2000000000,"آسانسور,انباری",1
جیحون,آپارتمان,55,1,1,6,4200000000,"آسانسور,انباری,بالکن",1
جیحون,آپارتمان,55,1,1,6,4200000000,"آسانسور,انباری,بالکن",1
قنات کوثر,آپارتمان,95,2,1,15,8750000000,"آسانسور,انباری",2
شهرک اکباتان,آپارتمان,167,5,1,1399,14200000000,"آسانسور,انباری",
باغ فیض,آپارتمان,82,2,1,6,8600000000,"آسانسور,انباری,بالکن,سرایداری,نگهبانی,اتاق مستر",2
شهران,آپارتمان,79,2,1,2,7350000000,"آسانسور,انباری",2
سهروردی,آپارتمان,86,2,1,12,9300000000,"آسانسور,انباری",2
بلوار فردوس,آپارتمان,95,2,1,14,7500000000,,2
هاشم آباد,آپارتمان,60,1,1,6,2250000000,"آسانسور,انباری",1
شهرک نفت,آپارتمان,60,1,1,16,توافقی,"آسانسور,انباری,بالکن",1
اسکندری,آپارتمان,62,1,1,4,3800000000,"آسانسور,انباری",1
میرداماد,آپارتمان,78,1,1,0,14500000000,"آسانسور,انباری,لابی",1
شمس آباد,آپارتمان,97,2,1,12,11800000000,"آسانسور,انباری",2
نارمک منطقه 4,آپارتمان,36,1,0,22,2950000000,"آسانسور,انباری",
جوادیه,آپارتمان,55,1,0,9,2350000000,"آسانسور,انباری",1
علی آباد,آپارتمان,50,1,0,8,2300000000,"آسانسور,انباری",1
تهرانسر مرکزی,آپارتمان,105,2,1,6,6750000000,"آسانسور,انباری",2
تولید دارو,آپارتمان,71,2,1,5,3900000000,"آسانسور,انباری",2
چهارصد دستگاه,آپارتمان,51,1,0,7,2700000000,"آسانسور,انباری",1
جنت آباد مرکزی,آپارتمان,80,2,2,13,7200000000,"آسانسور,انباری,بالکن,سرایداری,نگهبانی,سالن اجتماعات,لابی,اتاق مستر",2
سازمان برنامه جنوبی,آپارتمان,88,2,1,14,7400000000,"آسانسور,انباری,بالکن,سرایداری,نگهبانی,سالن اجتماعات,پارکینگ مهمان",2
بلوار فردوس,آپارتمان,80,2,1,8,8500000000,"آسانسور,انباری,بالکن",2
بلوار فردوس,آپارتمان,71,1,1,7,6100000000,"آسانسور,انباری,بالکن,سرایداری,نگهبانی,سالن اجتماعات,اعلام حریق,اطفا حریق",1
علی آباد,آپارتمان,78,2,1,22,2500000000,"آسانسور,انباری",2
جنت آباد جنوبی,آپارتمان,70,2,1,14,7800000000,"آسانسور,انباری,بالکن",2
میرداماد,آپارتمان,125,3,1,32,14625000000,انباری,3
قلهک,آپارتمان,165,3,1,17,19000000000,"آسانسور,انباری,سرایداری",3
ولنجک,آپارتمان,132,2,2,1,28000000000,"آسانسور,انباری,بالکن,سرایداری,نگهبانی,سالن اجتماعات",2
استادمعین,آپارتمان,47,1,0,9,3200000000,"آسانسور,انباری,بالکن",1
قلهک,آپارتمان,100,3,1,7,15000000000,"آسانسور,انباری",3
میرداماد,آپارتمان,130,3,1,3,18500000000,"آسانسور,انباری,لابی,اتاق مستر",3
کامرانیه,آپارتمان,250,3,2,4,70000000000,"آسانسور,انباری,سرایداری,نگهبانی,لابی,استخر,سونا",3
قلهک,آپارتمان,95,2,1,10,12000000000,"آسانسور,انباری",2
ظفر,آپارتمان,110,2,1,1,16000000000,"آسانسور,انباری",2
قلهک,آپارتمان,127,3,1,11,16500000000,"آسانسور,انباری",3
میرداماد,آپارتمان,124,3,1,27,16740000000,آسانسور,3
سلسبیل(رودکی),آپارتمان,,,0,,2960000000,,
کامرانیه,آپارتمان,190,3,2,7,60000000000,"آسانسور,انباری,سرایداری,نگهبانی,استخر,سونا",3
کامرانیه,آپارتمان,250,3,2,4,60000000000,"آسانسور,سرایداری,نگهبانی,لابی,استخر,سونا",3
کامرانیه,آپارتمان,182,3,2,3,60000000000,"آسانسور,انباری,بالکن,سرایداری,نگهبانی,سالن اجتماعات,لابی,استخر,سونا,جکوزی,روف گاردن,اعلام حریق,لابی من,باشگاه",3
جوادیه,آپارتمان,140,3,1,0,5880000000,"آسانسور,انباری",3
میرداماد,آپارتمان,109,2,1,22,14715000000,"آسانسور,انباری",2
فلاح,آپارتمان,40,1,1,12,1670000000,"آسانسور,انباری",1
فرمانیه,آپارتمان,200,3,3,0,80000000000,"آسانسور,انباری,سرایداری,نگهبانی,لابی,استخر,سونا,جکوزی",3
شهرزیبا,آپارتمان,116,3,1,22,8460000000,"انباری,بالکن",3
شهران,آپارتمان,115,2,1,0,12300000000,"آسانسور,انباری",2
استادمعین,آپارتمان,50,1,0,10,3300000000,"آسانسور,انباری,بالکن",1
شهران,آپارتمان,115,2,0,24,8600000000,,
شهرزیبا,آپارتمان,97,2,1,20,6300000000,"انباری,بالکن",2
شهرزیبا,آپارتمان,102,3,1,19,8500000000,,3
آپادانا,آپارتمان,78,2,1,7,7790000000,"آسانسور,انباری",2
بلوار فردوس,آپارتمان,65,2,0,17,4600000000,"انباری,بالکن,اعلام حریق,اطفا حریق",2
شهرزیبا,آپارتمان,48,1,0,7,4200000000,,
بلوار فردوس,آپارتمان,80,2,1,17,5000000000,"انباری,بالکن,اعلام حریق,اطفا حریق",2
بلوار فردوس,آپارتمان,68,2,1,17,5500000000,"آسانسور,انباری,بالکن,اعلام حریق,اطفا حریق",2
بلوار فردوس,آپارتمان,55,1,0,17,4300000000,"آسانسور,انباری,بالکن,اعلام حریق,اطفا حریق",1
استادمعین,آپارتمان,51,1,0,6,3200000000,"آسانسور,انباری,بالکن",1
جنت آباد مرکزی,آپارتمان,80,2,1,20,7360000000,"انباری,بالکن",2
جنت آباد جنوبی,آپارتمان,80,2,1,12,8500000000,"آسانسور,انباری,بالکن",2
قزل قلعه,آپارتمان,110,2,1,0,15500000000,"آسانسور,انباری",2
شهران,آپارتمان,63,2,1,20,5800000000,"آسانسور,انباری,بالکن",2
شمس آباد,آپارتمان,70,2,1,22,6700000000,"آسانسور,انباری",2
قیطریه,آپارتمان,190,3,2,4,35000000000,"آسانسور,سرایداری,لابی,استخر,سونا,پاسیو",3
استادمعین,آپارتمان,45,1,0,1,3200000000,"آسانسور,بالکن",1
جنت آباد شمالی,آپارتمان,100,2,1,5,8000000000,"آسانسور,انباری,بالکن",2
استادمعین,آپارتمان,42,1,1,2,3150000000,"آسانسور,انباری,بالکن",1
جنت آباد مرکزی,آپارتمان,80,2,1,11,9000000000,"آسانسور,انباری,بالکن",2
بریانک,آپارتمان,44,1,0,9,2900000000,"آسانسور,انباری,بالکن",1
میرداماد,آپارتمان,120,2,1,0,19800000000,"آسانسور,انباری,سرایداری,سالن اجتماعات,لابی",2
دزاشیب,آپارتمان,100,2,1,20,12500000000,"آسانسور,انباری",2
بریانک,آپارتمان,50,1,1,13,2500000000,"انباری,بالکن",1
اقدسیه,آپارتمان,123,2,1,15,19000000000,"آسانسور,انباری",2
محمودیه,آپارتمان,150,3,1,1,36500000000,"آسانسور,انباری",3
میرداماد,آپارتمان,128,2,1,7,20500000000,"آسانسور,انباری,سرایداری,سالن اجتماعات,لابی",2
شهرزیبا,آپارتمان,85,2,1,17,5500000000,انباری,
جیحون,آپارتمان,47,1,1,10,3150000000,بالکن,1
بریانک,آپارتمان,48,1,0,20,2200000000,"انباری,بالکن",1
پونک,آپارتمان,95,2,1,7,12000000000,"آسانسور,انباری,بالکن,لابی,اطفا حریق",2
میرداماد,آپارتمان,137,3,1,1,22500000000,"آسانسور,انباری,لابی,اتاق مستر",3
فرمانیه,آپارتمان,250,3,3,1,60000000000,,3
ظفر,آپارتمان,140,3,1,27,21000000000,"آسانسور,انباری",3
شهرک غرب,آپارتمان,153,3,1,29,22000000000,"آسانسور,انباری,بالکن",3
شهرک غرب,آپارتمان,151,3,1,29,26500000000,"آسانسور,انباری,بالکن,نگهبانی,پارکینگ مهمان",3
اباذر,آپارتمان,50,1,1,20,5300000000,"آسانسور,انباری,بالکن",1
جنت آباد شمالی,آپارتمان,60,1,1,5,6600000000,"آسانسور,انباری,بالکن",1
بلوار فردوس,آپارتمان,80,2,1,8,7600000000,"آسانسور,انباری,بالکن",2
بلوار فردوس,آپارتمان,62,1,1,14,6200000000,"آسانسور,انباری,بالکن",1
پونک,آپارتمان,100,2,1,14,10500000000,"آسانسور,انباری,بالکن",2
پونک,آپارتمان,70,2,1,17,6900000000,"انباری,بالکن,پارکینگ مهمان,نورپردازی",2
اباذر,آپارتمان,62,1,1,18,5950000000,"آسانسور,انباری,بالکن,اتاق مستر",1
جنت آباد جنوبی,آپارتمان,90,2,1,11,8000000000,"آسانسور,انباری,بالکن",2
بلوار فردوس,آپارتمان,75,2,1,13,6500000000,"آسانسور,انباری,بالکن,سرایداری,اتاق مستر",2
جنت آباد مرکزی,آپارتمان,70,2,1,17,5400000000,"انباری,بالکن",2
بلوار فردوس,آپارتمان,77,1,2,11,7000000000,"آسانسور,انباری,بالکن,اعلام حریق,اطفا حریق,پارکینگ مهمان,نورپردازی",1
محله,آپارتمان,70,2,1,12,7200000000,"آسانسور,انباری,بالکن",2
نعمت آباد,آپارتمان,88,2,1,9,7950000000,"آسانسور,انباری",2
بلوار فردوس,آپارتمان,55,1,1,17,5800000000,"آسانسور,انباری,بالکن,سرایداری,نگهبانی,اتاق مستر",1
بلوار فردوس,آپارتمان,70,2,1,18,7100000000,"انباری,بالکن",
شهرک ولیعصر,آپارتمان,75,2,0,18,3150000000,"آسانسور,انباری",2
تجریش,آپارتمان,180,3,1,0,29000000000,"آسانسور,انباری",3
بهجت آباد,آپارتمان,205,1,0,1399,18300000000,"آسانسور,انباری",
شهرک غرب,آپارتمان,151,3,1,30,22000000000,"آسانسور,انباری,بالکن",3
شهرآرا,آپارتمان,75,1,2,15,7800000000,"آسانسور,انباری,بالکن,لابی,اتاق مستر",1
شهرزیبا,آپارتمان,50,1,1,7,4200000000,"آسانسور,انباری,بالکن,اعلام حریق,اطفا حریق",1
دروس,آپارتمان,185,3,1,15,21500000000,"انباری,بالکن,سرایداری,اتاق مستر",
رستم آباد و اختیاریه,آپارتمان,125,3,2,4,18500000000,"آسانسور,انباری,بالکن,سرایداری,لابی",
دروس,آپارتمان,175,3,2,2,27000000000,"آسانسور,انباری,بالکن,سرایداری,لابی",
بلوار فردوس,آپارتمان,70,2,1,18,6000000000,"آسانسور,انباری,بالکن,سرایداری,نگهبانی,سالن اجتماعات,اعلام حریق,اطفا حریق",2
قیطریه,آپارتمان,94,2,2,10,11300000000,"آسانسور,انباری,بالکن,سرایداری,لابی",
بلوار فردوس,آپارتمان,70,2,0,17,4500000000,"انباری,بالکن,اعلام حریق,اطفا حریق",2
بلوار فردوس,آپارتمان,80,2,1,15,7100000000,"آسانسور,انباری,بالکن",2
شهرک غرب,آپارتمان,116,2,2,7,22000000000,"آسانسور,انباری,بالکن,سرایداری,لابی,اعلام حریق,اطفا حریق,آبنما,نورپردازی",2
امیریه,آپارتمان,47,1,1,20,3000000000,"آسانسور,انباری",1
شهرزیبا,آپارتمان,60,1,1,18,4700000000,"آسانسور,انباری,بالکن,سرایداری,نگهبانی,سالن اجتماعات,لابی,اعلام حریق,اطفا حریق",1
بلوار فردوس,آپارتمان,78,2,1,6,6800000000,"آسانسور,انباری,بالکن,سرایداری,نگهبانی,سالن اجتماعات,اعلام حریق,اطفا حریق,لابی من",2
شهرزیبا,آپارتمان,71,2,1,17,5750000000,"آسانسور,انباری,بالکن",
سازمان برنامه شمالی,آپارتمان,70,2,1,20,6000000000,"انباری,بالکن",2
جمهوری,آپارتمان,107,2,0,31,5200000000,"آسانسور,انباری",
نعمت آباد,آپارتمان,210,1,0,14,4700000000,"آسانسور,انباری",
امامزاده حسن(ع),آپارتمان,90,1,1,7,4600000000,"آسانسور,انباری",1
اتابک,آپارتمان,70,1,1,7,2900000000,"آسانسور,انباری",1
شهرک دانشگاه شریف,آپارتمان,125,3,1,0,12100000000,"آسانسور,انباری",3
بهار,آپارتمان,121,3,1,17,10200000000,"آسانسور,انباری",3
حشمتیه,آپارتمان,127,3,1,1,11250000000,"آسانسور,انباری",3
جی,آپارتمان,68,2,0,19,2600000000,"آسانسور,انباری",2
جمهوری,آپارتمان,95,2,0,27,4650000000,"آسانسور,انباری",2
محله,آپارتمان,60,1,1,1,3000000000,"آسانسور,انباری",1
چهارصد دستگاه,آپارتمان,50,1,0,22,2150000000,"آسانسور,انباری",1
امیریه,آپارتمان,147,3,1,2,12500000000,"آسانسور,انباری",3
منیریه,آپارتمان,140,3,1,8,13000000000,"آسانسور,انباری",3
محله,آپارتمان,50,1,1,5,2250000000,"آسانسور,انباری",1
خانی آباد,آپارتمان,39,1,0,11,1600000000,"آسانسور,انباری",1
شیخ هادی,آپارتمان,50,1,1,18,3000000000,"آسانسور,انباری",1
مولوی,آپارتمان,64,2,0,16,2050000000,"آسانسور,انباری",2
شهرک غرب,آپارتمان,156,3,1,29,25000000000,"آسانسور,انباری,بالکن,نگهبانی",3
مولوی,آپارتمان,70,2,1,12,2000000000,"آسانسور,انباری",2
سازمان برنامه شمالی,آپارتمان,81,2,1,18,6500000000,"آسانسور,انباری,بالکن,سرایداری,نگهبانی,سالن اجتماعات,اعلام حریق,اطفا حریق",2
شهرک غرب,آپارتمان,158,3,1,30,22000000000,"آسانسور,انباری,بالکن",3
سنایی,آپارتمان,147,3,1,32,11200000000,"آسانسور,انباری",3
ایرانشهر,آپارتمان,169,,0,1399,11830000000,"آسانسور,انباری",
خاوران,آپارتمان,40,1,0,10,1850000000,"آسانسور,انباری",1
سر آسیاب دولاب,آپارتمان,50,1,1,22,2700000000,"آسانسور,انباری",1
ایرانشهر,آپارتمان,73,2,1,12,7500000000,"آسانسور,انباری",2
زمزم,آپارتمان,60,1,0,12,2700000000,"آسانسور,انباری",1
سبلان,آپارتمان,65,3,0,1401,4000000000,"آسانسور,انباری",
خانی آباد,آپارتمان,63,2,0,11,3100000000,"آسانسور,انباری",2
ابوذر,آپارتمان,72,2,1,16,4600000000,"آسانسور,انباری",2
قیام,آپارتمان,85,2,0,15,4845000000,"آسانسور,انباری",2
ابوذر,آپارتمان,107,3,1,8,7200000000,"آسانسور,انباری",3
شهرک غرب,آپارتمان,130,3,1,17,16700000000,"آسانسور,انباری,بالکن,پارکینگ مهمان",3
منیریه,آپارتمان,70,2,0,16,4550000000,"آسانسور,انباری",
سر آسیاب دولاب,آپارتمان,70,1,1,0,4600000000,"آسانسور,انباری",1
هفت چنار,آپارتمان,60,2,1,22,3000000000,"آسانسور,انباری",
فرمانیه,آپارتمان,125,2,1,1,17500000000,"آسانسور,انباری,سرایداری,لابی,روف گاردن",2
پاسداران,آپارتمان,175,3,1,18,20000000000,"آسانسور,انباری,سرایداری,لابی,اتاق مستر",3
میرداماد,آپارتمان,120,3,1,15,17000000000,"آسانسور,انباری",3
امامزاده حسن(ع),آپارتمان,78,2,1,7,4000000000,"آسانسور,انباری",2
میرداماد,آپارتمان,130,3,1,15,19000000000,"آسانسور,انباری",3
دروس,آپارتمان,95,2,1,21,12500000000,"آسانسور,انباری,سرایداری",2
خانی آباد,آپارتمان,54,1,1,8,2550000000,"آسانسور,انباری",1
شهرک غرب,آپارتمان,96,2,2,14,15000000000,"آسانسور,انباری,بالکن",2
شیخ هادی,آپارتمان,55,1,0,20,3300000000,"آسانسور,انباری",1
امیریه,آپارتمان,63,1,1,12,2520000000,"آسانسور,انباری",1
نیاوران,آپارتمان,160,3,1,14,23000000000,"آسانسور,انباری,بالکن,سرایداری,نگهبانی,لابی,استخر,سونا,جکوزی,اعلام حریق,اطفا حریق,لابی من,پارکینگ مهمان,اتاق مستر",3
هفت چنار,آپارتمان,58,1,1,17,2850000000,"آسانسور,انباری",1
شهرزیبا,آپارتمان,50,1,1,6,4500000000,"آسانسور,انباری,بالکن",1
میرداماد,آپارتمان,155,3,1,16,18500000000,"آسانسور,انباری,سرایداری,سالن اجتماعات,لابی",3
قبا,آپارتمان,135,3,1,19,15295000000,"آسانسور,انباری",3
سلسبیل(رودکی),آپارتمان,40,1,1,8,3350000000,"آسانسور,بالکن",1
نازی آباد,آپارتمان,150,3,1,2,10500000000,"آسانسور,انباری",3
علی آباد,آپارتمان,72,2,1,20,3000000000,"آسانسور,انباری",2
خزانه,آپارتمان,114,2,1,0,4830000000,"آسانسور,انباری",2
جردن,آپارتمان,197,2,1,1399,38415000000,"آسانسور,انباری,بالکن",
زمزم,آپارتمان,97,2,1,2,4490000000,"آسانسور,انباری",2
زهتابی,آپارتمان,48,1,0,13,1900000000,"آسانسور,انباری",1
وحیدیه,آپارتمان,48,1,1,9,2800000000,"آسانسور,انباری",1
آپادانا,آپارتمان,1444,4,1,0,307000000000,"آسانسور,انباری",4
زرگنده,آپارتمان,55,1,1,5,1250000000,"آسانسور,انباری",1
گمرک,آپارتمان,44,1,0,20,2350000000,"آسانسور,انباری",
ایران,آپارتمان,94,2,1,11,8600000000,"آسانسور,انباری",2
فردوسی,آپارتمان,88,2,1,10,8400000000,"آسانسور,انباری",2
بازار,آپارتمان,98,2,1,1,2500000000,"آسانسور,انباری",2
جنت آباد مرکزی,آپارتمان,65,2,2,14,5500000000,"انباری,بالکن,پارکینگ مهمان,نورپردازی",2
باغ فیض,آپارتمان,65,2,2,12,6500000000,"آسانسور,انباری,بالکن,سرایداری,نگهبانی,اعلام حریق,اطفا حریق,لابی من,پارکینگ مهمان,نورپردازی",2
ایران,آپارتمان,57,2,0,30,2450000000,"آسانسور,انباری",2
مدائن,آپارتمان,66,2,1,12,6899000000,"آسانسور,انباری",2
جنت آباد مرکزی,آپارتمان,130,3,1,6,16000000000,"آسانسور,انباری,بالکن,نورپردازی",3
پونک -منطقه-2,آپارتمان,105,2,1,12,12000000000,"آسانسور,انباری,بالکن,سرایداری,نگهبانی,اعلام حریق,اطفا حریق,پارکینگ مهمان,نورپردازی",2
دروس,آپارتمان,100,2,1,7,16000000000,"آسانسور,انباری,سرایداری",2
امیریه,آپارتمان,50,1,0,17,2200000000,"آسانسور,انباری",1
گمرک,آپارتمان,70,2,0,10,3100000000,"آسانسور,انباری",2
اسکندری,آپارتمان,60,2,1,6,3470000000,"آسانسور,انباری",2
شهرک آزادی,آپارتمان,75,2,1,12,4800000000,"آسانسور,انباری",2
شادآباد,آپارتمان,51,1,1,7,1950000000,"آسانسور,انباری",1
خلیج فارس,آپارتمان,83,2,1,0,4150000000,"آسانسور,انباری",2
جوانمرد قصاب,آپارتمان,160,3,1,17,7500000000,"آسانسور,انباری",3
فلاح,آپارتمان,82,2,1,1,5020000000,"آسانسور,انباری",2
خانی آباد,آپارتمان,84,2,0,6,3200000000,"آسانسور,انباری",2
کارگر شمالی,آپارتمان,57,1,1,16,5800000000,"آسانسور,انباری",1
سر آسیاب دولاب,آپارتمان,35,1,0,22,1800000000,"آسانسور,انباری",1
خزانه,آپارتمان,40,1,0,0,2230000000,"آسانسور,انباری",1
طیب,آپارتمان,43,1,1,1,2500000000,"آسانسور,انباری",1
