district_name,real_estate_type,real_estate_area,total_rooms,number_of_parking,real_estate_age,price,facilities,floor
طرشت,آپارتمان,134,3,2,0,12200000000,"آسانسور,انباری,بالکن,سرایداری,نگهبانی,سالن اجتماعات,لابی,اعلام حریق,اطفا حریق,لابی من,پارکینگ مهمان,نورپردازی",3
بلوار فردوس,آپارتمان,52,1,1,16,5000000000,"آسانسور,انباری,بالکن",1
جنت آباد جنوبی,آپارتمان,87,2,1,7,9100000000,"آسانسور,انباری,بالکن,سالن اجتماعات,اعلام حریق",2
جنت آباد مرکزی,آپارتمان,105,2,1,7,10500000000,"آسانسور,انباری,بالکن",2
سعادت آباد,آپارتمان,118,2,1,12,12700000000,"آسانسور,انباری",2
سازمان برنامه جنوبی,آپارتمان,87,2,1,8,8700000000,"آسانسور,انباری,بالکن,سرایداری",2
بلوار فردوس,آپارتمان,65,2,1,15,6200000000,"آسانسور,انباری,بالکن,اتاق مستر",2
دروس,آپارتمان,155,3,2,10,32550000000,"آسانسور,انباری,بالکن,سرایداری,نگهبانی,سالن اجتماعات,لابی,استخر,سونا,جکوزی,روف گاردن,اتاق مستر",3
بلوار فردوس,آپارتمان,62,1,1,8,5900000000,"آسانسور,انباری,بالکن,سرایداری,نگهبانی",1
ولنجک,آپارتمان,160,3,1,16,37500000000,"آسانسور,انباری,بالکن,سرایداری,نگهبانی",3
رستم آباد و اختیاریه,آپارتمان,55,1,0,17,5500000000,آسانسور,
ولنجک,آپارتمان,135,3,1,22,35000000000,"آسانسور,انباری,بالکن,سرایداری",3
شهران,آپارتمان,93,2,1,10,7400000000,"آسانسور,انباری,بالکن,سرایداری,نگهبانی,سالن اجتماعات,اطفا حریق,اتاق مستر",2
بلوار فردوس,آپارتمان,71,2,1,16,6600000000,"آسانسور,انباری",2
جردن,آپارتمان,95,2,1,12,13900000000,"آسانسور,انباری,بالکن,سرایداری,استخر,سونا,جکوزی,پاسیو",2
دهکده المپیک,آپارتمان,106,2,1,12,14000000000,"آسانسور,انباری,بالکن",2
بلوار فردوس,آپارتمان,72,2,1,11,6300000000,"آسانسور,انباری,بالکن,سرایداری,نگهبانی,سالن اجتماعات,پارکینگ مهمان",2
شهران,آپارتمان,108,3,1,1,9500000000,"آسانسور,انباری,بالکن,سرایداری,نگهبانی,اعلام حریق,اطفا حریق",3
پاسداران,آپارتمان,240,3,3,0,60000000000,"آسانسور,انباری,سرایداری,سالن اجتماعات,لابی,روف گاردن,اتاق مستر",3
جیحون,آپارتمان,56,1,0,12,3300000000,"آسانسور,انباری,بالکن",1
جنت آباد جنوبی,آپارتمان,80,2,1,13,6500000000,"آسانسور,انباری,بالکن,اعلام حریق,اطفا حریق,پارکینگ مهمان,نورپردازی",2
میرداماد,آپارتمان,112,3,1,18,12700000000,"آسانسور,انباری",3
جنت آباد شمالی,آپارتمان,85,2,1,10,8000000000,"آسانسور,انباری,بالکن",2
جنت آباد جنوبی,آپارتمان,120,2,1,4,12000000000,"آسانسور,انباری,بالکن,اعلام حریق,اطفا حریق,پارکینگ مهمان",2
جنت آباد شمالی,آپارتمان,101,2,1,2,11500000000,"آسانسور,انباری,بالکن",2
جنت آباد مرکزی,آپارتمان,72,2,1,7,7000000000,"آسانسور,انباری,بالکن,اعلام حریق,اطفا حریق,پارکینگ مهمان",2
چیتگر,آپارتمان,1402,,1,,60000000,"آسانسور,انباری,بالکن,سرایداری,نگهبانی,سالن اجتماعات,لابی,روف گاردن,اعلام حریق,اطفا حریق,آبنما,لابی من,پارکینگ مهمان,نورپردازی,باشگاه,آلاچیق,جاروبرقی مرکزی,اتاق مستر",
جنت آباد جنوبی,آپارتمان,45,2,1,5,4500000000,"آسانسور,انباری,بالکن,اعلام حریق,اطفا حریق,پارکینگ مهمان,نورپردازی",2
دریان نو,آپارتمان,115,3,1,10,12500000000,"آسانسور,انباری,بالکن,پارکینگ مهمان,اتاق مستر",3
محله,آپارتمان,167,3,1,22,توافقی,"انباری,بالکن",3
جنت آباد جنوبی,آپارتمان,73,2,1,18,6800000000,"انباری,بالکن,پارکینگ مهمان,نورپردازی",2
